SubclassDescription,Model,Serial_Correlation_P_Value,No_Serial_Correlation,ARCH_LM_P_Value,No_ARCH_Effects,Normality_P_Value,Skewness,Kurtosis,Normal_Residuals,CUSUM_P_Value,Stable_Parameters,Passed_Core_Diagnostics,Passed_All_Diagnostics
Sugar,Asymmetric level,0.6807786275950115,True,0.959122425093732,True,5.939793279490395e-49,1.4931309080249602,9.702405392919099,False,0.8247703602826129,True,True,False
Tea and other plant products for infusion,Asymmetric level,0.6373580904430489,True,0.13664105888391276,True,0.35421832073598447,0.310328016798919,3.343485264730527,True,0.7882410869630309,True,True,True
Tubers,Asymmetric level,0.008123092307337883,False,0.3229064451233231,True,5.24325323726673e-05,0.28749161665651407,5.1090407433605876,False,0.7264587406421672,True,False,False
Vegetable oils,Asymmetric level,0.5774286239033791,True,0.004369484781638122,False,8.658211039834516e-23,0.9030343681613096,7.622648470138434,False,0.8637071503178054,True,False,False
Vegetables and pulses ground and other preparations,Asymmetric level,0.5581345322428166,True,0.1484857405855709,True,0.20623331873554063,0.3641945203424088,3.4846674759135485,True,0.8236231416848487,True,True,True
"Vegetables, tubers, plantains and cooking bananas, frozen",Asymmetric level,0.5702269564281943,True,0.7423928857219482,True,0.06098196981627955,0.001007353461609566,4.164561285792095,True,0.7157313043117026,True,True,True
Water,Asymmetric level,0.8085554757343228,True,0.4445301301380826,True,0.0545136446358858,-0.22884630854470467,4.095942163182296,True,0.7986821855005628,True,True,True
Yoghurt and similar products,Asymmetric level,0.2482827845835234,True,0.6974177529289327,True,1.0018500339120875e-07,0.8659282356981741,5.194222244910243,False,0.8986397675971949,True,True,False
Baby food,Symmetric short run,0.0026126784825824876,False,0.9990770488521008,True,1.3304207833040145e-90,1.8264561755620572,12.32707080637707,False,0.4849334585776134,True,False,False
Bread and bakery products,Symmetric short run,0.37953695990305075,True,0.20129066171588716,True,0.01024975837827618,0.65411544805569,3.713709298804365,False,0.6608455470558907,True,True,False
Breakfast cereals,Symmetric short run,0.16617491956446329,True,0.4993185745865495,True,1.2813825565276124e-09,0.13506905020327922,6.1391808328096795,False,0.16739681218435234,True,True,False
Cereals,Symmetric short run,0.6077027021179606,True,0.45461376519097174,True,4.71671917840853e-05,0.7160640089582512,4.667026932322525,False,0.41476275501441584,True,True,False
Cheese,Symmetric short run,0.35444137155168753,True,0.3375423168098427,True,0.7413140746899198,0.13236196008500298,2.726044939705373,True,0.09233508219168761,True,True,True
"Chocolate, cocoa, and cocoa-based food products",Symmetric short run,0.06038864716883942,True,0.11567262206542199,True,0.4689933846624076,0.29057201488470646,3.171413835870204,True,0.05774032915181231,True,True,True
Coffee and coffee substitutes,Symmetric short run,0.3028091224779567,True,0.776184456672321,True,4.854914421910859e-07,0.8722345599127448,5.001400827510182,False,0.07442828006487152,True,True,False
"Dates, figs and tropical fruits, fresh",Symmetric short run,0.09284840874798662,True,0.7539012863174536,True,0.06628233872153079,-0.4832586383137272,3.617771471585012,True,0.9999877891828376,True,True,True
Eggs,Symmetric short run,0.3154769029034809,True,0.9997770949207481,True,1.4629765381110304e-208,2.3334371666322102,17.49993206955987,False,0.56746205634047,True,True,False
Fish,Symmetric short run,0.16203835860263463,True,0.40037751556825407,True,0.20486807992255962,0.43784365232242584,2.9570441096847246,True,0.36273540945463334,True,True,True
Fish preparations,Symmetric short run,0.2813589698960028,True,0.13661328044303234,True,0.4585939551393746,-0.28665350440592036,3.2220408689221642,True,0.9929754624033648,True,True,True
Flour of cereals,Symmetric short run,0.21644377438931667,True,0.13212129366818506,True,0.02218953011212884,0.14907561170359737,4.325697626181619,False,0.7103215731383228,True,True,False
Fruit and nuts ground and other preparations,Symmetric short run,0.2809639970373782,True,0.9914484131669494,True,4.26029744999437e-07,0.27834616206552,5.608106229031492,False,0.7574241364615686,True,True,False
Fruit and vegetable juices,Symmetric short run,0.18940434615287766,True,0.9999868217329694,True,0.0,-2.8642779326904946,23.717506630932785,False,0.4530168829785454,True,True,False
"Fruit-bearing vegetables, fresh or chilled",Symmetric short run,0.032786056744626674,False,0.632502808109908,True,0.6830298743405053,-0.09560580857248366,2.614940981925384,True,0.7493974587866682,True,False,False
"Ice, ice cream and sorbet",Symmetric short run,0.16144515832589665,True,0.9702703925599699,True,0.809866239323716,-0.14230010579098754,3.145775735932607,True,0.1473681802848172,True,True,True
"Leafy or stem vegetables, fresh or chilled",Symmetric short run,0.9536041528446317,True,0.7440030958337556,True,0.997733960514042,-0.012158560493911726,2.9774476131038266,True,0.7167244067934762,True,True,True
"Macaroni, noodles, couscous and similar pasta products",Symmetric short run,0.0009442717752819793,False,0.2855743692114587,True,6.339731684666144e-06,0.7502145617090102,4.884597026999836,False,0.9100645252608934,True,False,False
Margarine and similar preparations,Symmetric short run,0.09989493005953204,True,0.2979493564312708,True,0.18221350007302584,0.36354099498045156,3.544833251372464,True,0.10497427260116758,True,True,True
"Meat , dried, salted, in brine or smoked",Symmetric short run,0.20311601819789235,True,0.713864507521256,True,0.2157260601785096,0.17023739919974512,3.7922823330245903,True,0.2728734984514804,True,True,True
"Meat, fresh, chilled or frozen",Symmetric short run,0.35595233649356434,True,0.07769150208032653,True,0.00011406228247856729,0.8860352929399674,4.123206009536929,False,0.8681527018740116,True,True,False
"Meat, offal, blood and other parts of slaughtered animals preparations",Symmetric short run,0.49088719330337105,True,0.5073683376511056,True,3.676353967630229e-45,1.2827885801751135,9.559329186935347,False,0.5344547787793806,True,True,False
Milk,Symmetric short run,0.4389821395646074,True,0.764510507860358,True,0.5711741720285186,-0.09720965259172323,3.4834727528511156,True,0.7843847509726966,True,True,True
Milk-based desserts and beverages,Symmetric short run,0.08848880110708082,True,0.5437860130879326,True,0.021082959529757993,-0.47705881160280855,3.98021964508483,False,0.22413971136792943,True,True,False
"Nut puree, nut butter and nut pastes",Symmetric short run,0.07172794367036213,True,0.9814388533240104,True,0.6873071266802309,0.11622292978677165,3.3574556105986693,True,0.89848066856027,True,True,True
"Offal, blood and other parts of slaughtered animals",Symmetric short run,0.6051781577661208,True,0.8150640525196374,True,2.7253532071702844e-47,1.6889860582569487,9.369790125178028,False,0.2504165103696397,True,True,False
