Actual CPI,Forecast CPI
77.2,80.52388469171117
77.0,80.5238846917112
77.1,80.5238846917112
79.0,80.52388469171119
78.5,80.52388469171119
81.0,80.5238846917112
82.5,80.52388469171119
85.1,80.52388469171117
86.3,80.52388469171117
86.1,80.52388469171115
86.6,80.52388469171112
88.1,80.5238846917111
90.3,80.5238846917111
92.2,80.52388469171113
92.7,80.52388469171117
94.4,80.5238846917112
97.3,80.52388469171122
96.4,80.5238846917112
96.2,80.52388469171119
95.3,80.52388469171119
96.6,80.52388469171115
97.5,80.52388469171113
98.5,80.52388469171112
99.2,80.52388469171113
100.3,80.52388469171115
99.0,80.52388469171116
99.9,80.52388469171119
97.5,80.5238846917112
101.0,80.52388469171123
100.1,80.52388469171126
100.6,80.52388469171127
102.3,80.52388469171126
101.2,80.52388469171123
99.8,80.52388469171123
100.0,80.52388469171122
98.7,80.52388469171119
101.3,80.52388469171116
100.4,80.52388469171117
100.1,80.52388469171116
100.2,80.52388469171117
100.6,80.52388469171119
99.9,80.52388469171117
102.2,80.52388469171115
102.6,80.52388469171115
102.8,80.52388469171117
103.6,80.5238846917112
102.9,80.52388469171119
50.9,80.52388469171119
51.7,80.52388469171116
51.8,80.52388469171112
52.0,80.52388469171107
52.0,80.52388469171106
51.0,80.52388469171109
52.5,80.52388469171112
51.3,80.52388469171116
52.0,80.52388469171117
52.9,80.52388469171117
53.7,80.52388469171117
53.8,80.52388469171117
54.4,80.52388469171116
56.0,80.52388469171112
56.6,80.5238846917111
57.5,80.52388469171112
57.4,80.52388469171115
57.6,80.52388469171117
59.2,80.52388469171117
58.2,80.52388469171117
58.6,80.52388469171116
57.8,80.52388469171115
58.5,80.52388469171113
57.9,80.52388469171112
57.3,80.52388469171109
57.2,80.52388469171109
58.0,80.52388469171109
57.7,80.5238846917111
57.1,80.52388469171113
57.1,80.52388469171115
58.7,80.52388469171116
59.4,80.52388469171113
59.9,80.52388469171113
59.7,80.52388469171112
59.8,80.52388469171109
59.4,80.52388469171106
59.7,80.52388469171106
57.8,80.52388469171109
60.5,80.52388469171112
59.1,80.52388469171112
60.5,80.52388469171112
60.2,80.52388469171106
59.9,80.52388469171103
